sbd,toan,van,ngoaiNgu,vatLy,hoaHoc,sinhHoc,lichSu,diaLy,gdcd,province_name
1000001.0,8.4,6.75,8.0,6.0,5.25,5.0,,,,Hà Nội
1000002.0,8.6,8.5,7.2,,,,7.25,6.0,8.0,Hà Nội
1000003.0,8.2,8.75,8.2,,,,7.25,7.25,8.75,Hà Nội
1000004.0,4.8,8.5,7.4,,,,7.0,6.0,7.5,Hà Nội
1000005.0,8.6,9.0,7.8,,,,9.0,8.75,8.5,Hà Nội
1000006.0,5.8,8.75,7.8,,,,7.75,6.75,7.5,Hà Nội
1000007.0,6.0,7.5,,,,,6.75,7.0,7.0,Hà Nội
1000008.0,8.2,9.0,9.0,,,,8.0,8.25,10.0,Hà Nội
1000009.0,8.2,8.0,8.6,8.25,4.25,6.0,,,,Hà Nội
1000010.0,7.4,9.0,9.6,,,,8.25,6.5,8.25,Hà Nội
1000011.0,7.2,8.5,9.0,7.75,6.75,6.25,,,,Hà Nội
1000012.0,8.2,8.0,8.2,,,,7.75,9.5,9.0,Hà Nội
1000013.0,5.2,8.0,8.6,,,,7.5,5.75,8.0,Hà Nội
1000014.0,7.6,9.0,7.4,,,,7.25,7.5,7.5,Hà Nội
1000015.0,7.6,9.0,7.6,,,,7.75,8.5,8.75,Hà Nội
1000016.0,6.0,5.75,6.8,,,,7.75,7.0,7.75,Hà Nội
1000017.0,7.0,8.75,7.8,3.75,7.5,7.25,,,,Hà Nội
1000018.0,8.2,6.0,9.0,7.75,6.75,6.75,,,,Hà Nội
1000019.0,2.8,4.25,,,,,5.75,7.0,,Hà Nội
1000020.0,7.6,8.5,9.2,,,,7.0,8.0,7.75,Hà Nội
1000021.0,8.4,8.5,8.6,2.5,8.75,7.75,,,,Hà Nội
1000022.0,,4.25,,,,,5.75,6.25,,Hà Nội
1000023.0,8.8,9.25,8.8,8.5,6.5,7.0,,,,Hà Nội
1000024.0,8.4,9.5,8.8,,,,7.25,8.75,8.25,Hà Nội
1000025.0,7.8,9.25,8.4,,,,7.0,7.5,7.75,Hà Nội
1000026.0,7.2,8.25,,7.5,8.75,8.75,,,,Hà Nội
1000027.0,8.2,8.75,8.0,6.25,9.0,5.75,,,,Hà Nội
1000028.0,8.8,8.5,9.0,,,,8.25,8.5,8.75,Hà Nội
1000029.0,,6.25,,,,,5.0,5.5,,Hà Nội
1000030.0,8.0,7.75,7.4,7.0,2.0,3.75,,,,Hà Nội
1000031.0,6.8,9.5,8.4,,,,8.5,7.75,9.0,Hà Nội
1000032.0,8.2,8.75,7.0,,,,8.75,9.0,8.5,Hà Nội
1000033.0,8.6,9.5,9.2,,,,9.0,8.0,9.0,Hà Nội
1000034.0,7.8,9.25,7.8,,,,7.75,8.0,8.25,Hà Nội
1000035.0,8.0,7.5,8.4,5.0,7.25,4.75,,,,Hà Nội
1000036.0,6.4,7.25,4.8,2.5,3.5,4.5,,,,Hà Nội
1000037.0,7.6,8.75,9.2,,,,8.0,7.25,7.75,Hà Nội
1000038.0,8.2,9.0,8.6,,,,7.75,8.25,8.75,Hà Nội
1000039.0,7.2,5.75,5.6,,,,7.75,7.25,7.5,Hà Nội
1000040.0,7.0,7.75,6.0,,,,6.75,6.0,8.25,Hà Nội
1000041.0,6.2,7.75,8.2,7.25,7.0,5.75,,,,Hà Nội
1000042.0,7.0,8.5,7.0,,,,5.5,5.0,7.0,Hà Nội
1000043.0,8.0,8.0,9.6,8.25,6.0,7.0,,,,Hà Nội
1000044.0,9.0,7.75,7.6,8.5,8.5,6.5,,,,Hà Nội
1000045.0,,4.0,,,,,7.25,6.5,,Hà Nội
1000046.0,7.8,8.25,9.2,7.0,5.5,6.25,,,,Hà Nội
1000047.0,4.8,8.5,,,,,9.25,9.5,,Hà Nội
1000048.0,6.8,5.5,6.0,,,,5.75,6.75,7.25,Hà Nội
1000049.0,7.6,6.5,8.6,5.5,5.5,6.25,,,,Hà Nội
1000050.0,8.0,9.25,9.4,,,,8.0,8.0,8.5,Hà Nội
1000051.0,6.6,8.0,4.8,,,,7.75,7.75,8.75,Hà Nội
1000052.0,6.6,8.5,7.4,,,,,6.75,,Hà Nội
1000053.0,8.0,8.75,6.8,3.25,8.25,5.5,,,,Hà Nội
1000054.0,7.8,9.0,8.0,,,,7.0,8.75,8.75,Hà Nội
1000055.0,7.0,6.0,3.6,4.0,6.75,5.25,,,,Hà Nội
1000056.0,8.2,9.25,8.8,,,,6.5,6.0,6.75,Hà Nội
1000057.0,9.2,7.5,8.8,7.75,5.75,5.75,,,,Hà Nội
1000058.0,7.6,7.5,9.2,,,,8.5,8.0,9.0,Hà Nội
1000059.0,8.4,6.0,9.2,4.75,5.25,6.25,,,,Hà Nội
1000060.0,,6.25,,,,,5.5,6.75,,Hà Nội
1000061.0,6.0,6.5,8.6,,,,7.5,8.75,8.5,Hà Nội
1000062.0,8.6,8.0,8.6,8.5,2.25,6.25,,,,Hà Nội
1000063.0,5.4,9.0,7.4,,,,7.25,6.0,8.0,Hà Nội
1000064.0,8.2,9.0,9.2,,,,8.75,8.0,9.75,Hà Nội
1000065.0,7.6,9.25,9.6,,,,8.5,7.5,9.5,Hà Nội
1000066.0,9.0,8.75,7.4,7.0,4.75,6.25,,,,Hà Nội
1000067.0,8.4,6.75,8.8,6.5,3.0,5.75,,,,Hà Nội
1000068.0,8.2,7.0,7.2,7.25,2.5,4.25,,,,Hà Nội
1000069.0,7.4,8.25,8.0,4.25,4.25,5.25,,,,Hà Nội
1000070.0,8.6,7.75,8.6,8.0,4.0,3.75,,,,Hà Nội
1000071.0,6.6,9.0,8.2,,,,9.0,8.5,8.5,Hà Nội
1000072.0,7.0,8.75,8.4,,,,7.75,7.5,8.5,Hà Nội
1000073.0,8.0,6.75,6.0,7.0,5.0,3.5,,,,Hà Nội
1000074.0,7.6,6.5,8.6,,,,6.75,6.5,9.0,Hà Nội
1000075.0,7.6,9.25,8.0,,,,6.75,8.0,9.5,Hà Nội
1000076.0,6.4,9.0,7.0,,,,6.75,6.5,7.25,Hà Nội
1000077.0,8.0,9.5,8.8,,,,5.5,8.25,7.5,Hà Nội
1000078.0,7.8,8.75,6.8,,,,6.25,7.5,8.25,Hà Nội
1000079.0,3.6,8.0,,,,,6.0,7.0,,Hà Nội
1000080.0,8.6,8.75,8.4,8.75,5.5,4.75,,,,Hà Nội
1000081.0,3.0,7.25,7.4,,,,6.25,6.5,6.0,Hà Nội
1000082.0,8.2,7.75,8.6,3.75,7.25,8.25,,,,Hà Nội
1000083.0,7.4,8.5,8.4,7.0,5.25,5.75,,,,Hà Nội
1000084.0,6.6,5.0,,,,,7.5,6.75,,Hà Nội
1000085.0,,7.75,,,,,8.25,6.25,,Hà Nội
1000086.0,7.6,9.0,7.0,,,,6.5,6.25,7.0,Hà Nội
1000087.0,7.4,8.5,8.0,,,,6.5,7.25,8.25,Hà Nội
1000088.0,7.0,9.0,8.0,,,,6.75,7.25,9.0,Hà Nội
1000089.0,7.6,7.5,8.4,,,,5.75,8.25,8.25,Hà Nội
1000090.0,7.8,8.5,5.6,8.5,8.25,5.0,,,,Hà Nội
1000091.0,7.8,8.75,8.6,,,,8.5,8.75,8.5,Hà Nội
1000092.0,7.8,9.25,8.6,,,,8.0,7.5,8.5,Hà Nội
1000093.0,6.8,8.0,4.8,,,,7.75,7.75,9.0,Hà Nội
1000094.0,5.6,6.0,,,,,5.25,6.0,,Hà Nội
1000095.0,3.4,6.75,,,,,8.25,7.75,,Hà Nội
1000096.0,8.2,9.5,7.6,,,,7.5,8.25,8.25,Hà Nội
1000097.0,8.8,9.25,8.8,,,,7.75,8.0,8.5,Hà Nội
1000098.0,3.8,3.0,,,,,4.75,6.0,,Hà Nội
1000099.0,8.4,9.0,8.8,,,,7.0,8.25,9.0,Hà Nội
1000100.0,5.6,9.0,5.0,,,,7.25,5.0,7.75,Hà Nội
1000101.0,9.0,6.5,8.6,,,,8.75,8.25,9.25,Hà Nội
1000102.0,6.4,8.0,8.8,,,,8.5,7.5,9.25,Hà Nội
1000103.0,8.4,9.0,8.2,,,,5.25,5.5,8.75,Hà Nội
1000104.0,7.8,6.0,5.0,6.25,8.0,5.25,,,,Hà Nội
1000105.0,7.2,7.75,7.0,,,,8.25,8.0,9.0,Hà Nội
1000106.0,7.4,6.25,6.4,7.75,3.5,6.0,,,,Hà Nội
1000107.0,7.6,6.5,7.4,6.0,5.5,5.75,,,,Hà Nội
1000108.0,8.2,8.25,6.4,,,,6.5,7.75,8.75,Hà Nội
1000109.0,8.2,9.0,8.8,,,,5.75,8.25,8.25,Hà Nội
1000110.0,9.2,8.75,8.8,,,,9.5,7.75,7.25,Hà Nội
1000111.0,8.6,5.5,8.0,6.75,9.25,5.75,,,,Hà Nội
1000112.0,6.6,6.75,7.0,,,,7.5,7.75,8.5,Hà Nội
1000113.0,8.4,8.5,9.4,7.75,6.25,6.0,,,,Hà Nội
1000114.0,8.0,8.5,7.4,,,,6.25,7.5,,Hà Nội
1000115.0,8.2,9.0,8.0,,,,7.25,8.75,8.75,Hà Nội
1000116.0,8.4,7.75,8.2,,,,7.5,7.25,8.0,Hà Nội
1000117.0,6.4,8.5,,,,,7.25,7.5,,Hà Nội
1000118.0,8.0,9.25,7.2,,,,6.5,7.0,8.0,Hà Nội
1000119.0,7.8,9.5,10.0,,,,7.5,9.0,9.0,Hà Nội
1000120.0,8.4,8.0,9.0,8.25,4.0,6.0,,,,Hà Nội
1000121.0,5.6,8.25,8.0,,,,7.75,8.75,8.5,Hà Nội
1000122.0,4.6,6.25,,,,,4.75,3.5,,Hà Nội
1000123.0,4.0,9.0,8.4,,,,9.5,9.5,9.0,Hà Nội
1000124.0,8.2,8.75,9.6,,,,,,,Hà Nội
1000125.0,8.2,9.0,8.2,8.0,5.5,6.0,,,,Hà Nội
1000126.0,7.6,9.5,8.8,,,,8.75,6.75,8.5,Hà Nội
1000127.0,6.8,9.25,7.2,,,,8.75,8.25,8.5,Hà Nội
1000128.0,8.4,9.25,9.2,,,,7.5,7.25,9.0,Hà Nội
1000129.0,8.0,8.0,8.0,,,,7.5,8.0,8.25,Hà Nội
1000130.0,8.4,7.0,7.2,6.75,2.75,5.5,,,,Hà Nội
1000131.0,8.4,9.75,8.8,,,,8.25,6.75,8.25,Hà Nội
1000132.0,7.4,9.25,8.2,,,,7.5,7.75,9.0,Hà Nội
1000133.0,8.6,9.0,8.8,,,,7.25,7.25,8.0,Hà Nội
1000134.0,7.2,7.5,8.2,,,,7.5,8.25,9.0,Hà Nội
1000135.0,7.6,8.75,,,,,7.75,9.25,,Hà Nội
1000136.0,8.2,9.0,8.8,,,,6.5,8.5,9.5,Hà Nội
1000137.0,5.2,8.0,5.2,,,,7.25,8.25,8.0,Hà Nội
1000138.0,7.6,9.25,9.6,,,,7.5,7.75,8.5,Hà Nội
1000139.0,5.0,8.25,5.8,,,,7.5,6.5,6.5,Hà Nội
1000140.0,7.8,9.25,9.2,,,,6.75,7.75,8.5,Hà Nội
1000141.0,6.4,9.0,6.4,,,,7.75,7.75,8.25,Hà Nội
1000143.0,8.2,8.75,8.0,,,,9.25,9.5,8.5,Hà Nội
1000144.0,8.8,9.0,9.2,5.0,8.25,6.5,,,,Hà Nội
1000145.0,8.0,8.75,7.2,,,,6.75,7.5,7.5,Hà Nội
1000146.0,7.8,9.5,6.4,,,,6.5,7.75,8.5,Hà Nội
1000147.0,7.4,8.5,7.8,,,,,,,Hà Nội
